Blocking,Classifier,Attributes,RR,PC,PQ,Accuracy,Precision,Recall,F-measure,Time
soundex,simClass,"[1, 4, 6]",0.999321095,0.6563,0.024167593404084517,0.99998881,0.8633254406735069,0.6563,0.7457107146915123,10.910859823226929
soundex,weightSimClass,"[1, 4, 6]",0.999321095,0.6563,0.024167593404084517,0.9999902775,0.9355666429080541,0.6563,0.771436967381722,11.418598413467407
slk,simClass,"[1, 4, 6]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.3610494136810303
slk,weightSimClass,"[1, 4, 6]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.3419499397277832
soundex,simClass,"[1, 3, 4, 6]",0.9999841275,0.5853,0.921877461017483,0.999989565,0.9954081632653061,0.5853,0.7371536523929472,0.5580968856811523
soundex,weightSimClass,"[1, 3, 4, 6]",0.9999841275,0.5853,0.921877461017483,0.9999895775,0.9962553191489362,0.5853,0.7373858267716535,0.4936389923095703
slk,simClass,"[1, 3, 4, 6]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.37548089027404785
slk,weightSimClass,"[1, 3, 4, 6]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.32996129989624023
soundex,simClass,"[1, 3, 4]",0.9999789175,0.6287,0.7455235384797818,0.999990495,0.9860414052697616,0.6287,0.7678309721543722,0.5434601306915283
soundex,weightSimClass,"[1, 3, 4]",0.9999789175,0.6287,0.7455235384797818,0.999990525,0.9879006913890634,0.6287,0.7683940356880959,0.5178818702697754
slk,simClass,"[1, 3, 4]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.3672606945037842
slk,weightSimClass,"[1, 3, 4]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.32996249198913574
soundex,simClass,"[1, 4, 10]",0.9993999025,0.7394,0.03080332779256704,0.9999825875,0.6291159703905386,0.7394,0.6798142784903232,10.250359535217285
soundex,weightSimClass,"[1, 4, 10]",0.9993999025,0.7394,0.03080332779256704,0.99998906,0.8069198864876664,0.7393,0.771631353720906,10.534847259521484
slk,simClass,"[1, 4, 10]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.45368218421936035
slk,weightSimClass,"[1, 4, 10]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.33408117294311523
soundex,simClass,"[1, 4, 6, 10]",0.9998585625,0.6563,0.1160053026955369,0.99998881,0.8633254406735069,0.6563,0.7457107146915123,2.6580233573913574
soundex,weightSimClass,"[1, 4, 6, 10]",0.9998585625,0.6563,0.1160053026955369,0.9999903125,0.937437508927296,0.6563,0.7720722310452326,2.6618521213531494
slk,simClass,"[1, 4, 6, 10]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.3905467987060547
slk,weightSimClass,"[1, 4, 6, 10]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.33592796325683594
